Zone, Mean, Median, Sum, Std, Coverage 
MB, 15.38923168182373, 7.599510192871094, 12206581760.0, 18.093189239501953, 0.8217677815525549 
SK, 14.161959648132324, 5.336131572723389, 11958540288.0, 21.422714233398438, 0.8771595940922824 
AB, 36.218936920166016, 18.082727432250977, 33255698432.0, 39.00804901123047, 0.935289254776358 
BC, 65.48394012451172, 55.43747329711914, 71144144896.0, 51.70253372192383, 0.7765580378784087 
NU, None, None, None, None, None 
NT, 9.588382720947266, 5.633785724639893, 12396443648.0, 13.590166091918945, 0.6482840135258647 
YT, 20.170425415039062, 14.470980644226074, 12704297984.0, 17.6434383392334, 0.8789915182080045 
ON, 35.7816047668457, 26.86748695373535, 46794379264.0, 32.202850341796875, 0.8205573689302832 
QC, 24.05268096923828, 12.550250053405762, 43711139840.0, 26.460309982299805, 0.8161371082263704 
NB, 48.630245208740234, 49.970252990722656, 5017149952.0, 22.71226692199707, 0.9594507960662163 
NS, 42.086669921875, 41.290096282958984, 3162004992.0, 20.2921085357666, 0.9217670367560116 
NL, 13.422171592712402, 10.656564712524414, 6734927872.0, 10.739998817443848, 0.8411482038504059 
PE, 28.346296310424805, 23.410633087158203, 219517200.0, 21.41603660583496, 0.913301359868728 
AK, None, None, None, None, None 
