Zone, Mean, Median, Sum, Std, Coverage 
MB, 32.22067185512466, 23.0, 19175043377, 33.1978094665374, 0.8246518841860545 
SK, 18.588852760897392, 6.0, 11762412186, 23.26189177521717, 0.879153114957679 
AB, 63.751931767060576, 49.0, 43833203616, 59.808091848648345, 0.936747028785118 
BC, 92.63917438542785, 88.0, 74712633246, 72.71521681627425, 0.7710203271480282 
NU, None, None, None, None, None 
NT, 16.519967817028657, 8.0, 16054879032, 20.533090557654596, 0.6517909090901468 
YT, 23.57613491866101, 13.0, 11127973427, 27.951078749877144, 0.8810274653297769 
ON, 42.145592009038275, 33.0, 41352130182, 39.71071491396064, 0.8234129975892691 
QC, 47.1989274214065, 52.0, 64917228865, 39.25431889879339, 0.8261506297060661 
NB, 64.99701921426569, 62.0, 5027480698, 49.73579424195023, 0.9621127534670595 
NS, 80.47467384493665, 87.0, 4539506741, 47.126349169417175, 0.9256558350316918 
NL, 55.06527811918166, 61.0, 20882892033, 46.40546065441956, 0.8502997832777008 
PE, 37.59440951052191, 6.0, 218717094, 45.42495041168475, 0.9176947004106834 
AK, None, None, None, None, None 
