Zone, Mean, Median, Sum, Std, Coverage 
MB, 24.047555923461914, 22.352710723876953, 828584576.0, 15.83645248413086, 0.824816411379839 
SK, 21.27004623413086, 14.396642684936523, 780578816.0, 20.648134231567383, 0.8808288579548295 
AB, 39.67645263671875, 37.63058853149414, 1581149824.0, 31.89943504333496, 0.9379401805235491 
BC, 73.56973266601562, 71.52628326416016, 3482600448.0, 34.30736541748047, 0.7817959985377597 
NU, None, None, None, None, None 
NT, 20.579450607299805, 17.83211898803711, 1164740480.0, 16.34988784790039, 0.655735001240435 
YT, 31.13553810119629, 30.361583709716797, 853706816.0, 19.85410499572754, 0.8841396274670422 
ON, 37.57149124145508, 37.0202751159668, 2134171776.0, 23.444616317749023, 0.8235034599595304 
QC, 31.02036476135254, 23.74160385131836, 2470326272.0, 24.447114944458008, 0.8263448483124302 
NB, 54.84415817260742, 55.63829803466797, 245579424.0, 16.448102951049805, 0.9621728475407754 
NS, 47.87979507446289, 48.0260009765625, 156342992.0, 14.925492286682129, 0.9256541639736261 
NL, 30.630144119262695, 28.44659996032715, 672567040.0, 19.916269302368164, 0.8504882183045789 
PE, 30.195714950561523, 28.0310001373291, 10168558.0, 19.742694854736328, 0.9176463171212185 
AK, None, None, None, None, None 
