Zone, Mean, Median, Sum, Std, Coverage 
MB, 170.69915771484375, 150.68563842773438, 5443748352.0, 123.8297348022461, 0.8230046192899058 
SK, 155.90499877929688, 88.30284881591797, 5298463232.0, 154.5261688232422, 0.8793814900073973 
AB, 300.92706298828125, 261.0750427246094, 11121437696.0, 250.78053283691406, 0.9377323107075218 
BC, 566.9110107421875, 551.02490234375, 24889810944.0, 295.56195068359375, 0.7816996092953465 
NU, None, None, None, None, None 
NT, 123.72604370117188, 70.48368072509766, 6483019776.0, 128.4549102783203, 0.6544754830702832 
YT, 206.1564483642578, 186.08944702148438, 5245041152.0, 161.8018035888672, 0.8844324559699873 
ON, 279.06280517578125, 258.2421875, 14685619200.0, 184.38580322265625, 0.8224869299719323 
QC, 219.20799255371094, 153.4642333984375, 16169979904.0, 196.7950439453125, 0.8251847830135417 
NB, 420.17724609375, 426.06549072265625, 1744907008.0, 134.85963439941406, 0.9620008910902961 
NS, 365.3215637207031, 367.73052978515625, 1106301056.0, 126.65467834472656, 0.9254753431095661 
NL, 196.33387756347656, 167.12283325195312, 3996257792.0, 153.87457275390625, 0.8499320704118501 
PE, 228.61904907226562, 205.00914001464844, 71393384.0, 155.707275390625, 0.9173837425089213 
AK, None, None, None, None, None 
