Zone, Mean, Median, Sum, Std, Coverage 
MB, 23.473901748657227, 20.589515686035156, 137204.953125, 15.650501251220703, 0.8015894322083879 
SK, 17.230039596557617, 14.884403228759766, 96453.765625, 16.948760986328125, 0.7697544028655937 
AB, 21.534923553466797, 20.39609146118164, 135196.25, 14.991063117980957, 0.8465104948609036 
BC, 55.43672561645508, 49.0181770324707, 452640.875, 31.170957565307617, 0.7725404434617289 
NU, None, None, None, None, None 
NT, 17.030685424804688, 15.621589660644531, 163460.515625, 12.313152313232422, 0.6370738496697851 
YT, 28.675844192504883, 29.85812759399414, 137299.9375, 10.342334747314453, 0.8845017417311538 
ON, 44.12112045288086, 41.67977523803711, 438210.96875, 23.919340133666992, 0.8249113445387096 
QC, 34.33835220336914, 29.131025314331055, 475998.25, 22.52769660949707, 0.8240543658124246 
NB, 38.39070129394531, 39.39972686767578, 29791.18359375, 8.21497631072998, 0.9552769443905961 
NS, 37.853179931640625, 37.91267013549805, 21500.60546875, 12.03027629852295, 0.9224588753631918 
NL, 31.486255645751953, 31.4985294342041, 119301.421875, 14.10445499420166, 0.8407801359799076 
PE, 14.510233879089355, 14.156259536743164, 798.0628662109375, 5.615728855133057, 0.8586180797306928 
AK, None, None, None, None, None 
