Zone, Mean, Median, Sum, Std, Coverage 
0.0  WATER, None, None, None, None, None 
1.1  ARCTIC CORDILLERA, None, None, None, None, None 
10.1  COLD DESERTS, 93.58868192029634, 90.0, 4847905890, 74.55114294571973, 0.8763029584883968 
2.1  NORTHERN ARCTIC, None, None, None, None, None 
2.2  ALASKA TUNDRA, None, None, None, None, None 
2.3  BROOKS RANGE TUNDRA, None, None, None, None, None 
2.4  SOUTHERN ARCTIC, 4.353339810054107, 3.0, 2325842544, 7.209020131707407, 0.5812551911541475 
3.1  ALASKA BOREAL INTERIOR, None, None, None, None, None 
3.2  TAIGA CORDILLERA, 13.604312508810372, 3.0, 3573973199, 17.787247293396693, 0.7841235872377349 
3.3  TAIGA PLAIN, 37.496803639387885, 22.0, 22323689312, 43.43457134502648, 0.8502090408658988 
3.4  TAIGA SHIELD, 28.4016851348175, 14.0, 34079255014, 31.251400684561858, 0.7822993176344735 
4.1  HUDSON PLAIN, 13.939212431562837, 4.0, 5411157535, 19.806155014725597, 0.9443414224711201 
5.1  SOFTWOOD SHIELD, 49.08119145979263, 48.0, 69759136834, 34.63219070444687, 0.864111980781706 
5.2  MIXED WOOD SHIELD, 77.94249272501101, 82.0, 30142309252, 43.12438659493017, 0.8877876662340383 
5.3  ATLANTIC HIGHLANDS, 82.60734204245094, 89.0, 9625081361, 43.17029984384257, 0.9595131581117249 
5.4  BOREAL PLAIN, 68.51723302761916, 60.0, 46904785687, 58.70918777333187, 0.8954400778883619 
6.1  BOREAL CORDILLERA, 43.731027710609204, 29.0, 19765103061, 45.00315301266222, 0.5455473170211157 
6.2  WESTERN CORDILLERA, 100.14332175716771, 102.0, 40082390871, 73.43719273552843, 0.8156478310834901 
7.1  MARINE WEST COAST FOREST, None, None, None, None, None 
8.1  MIXED WOOD PLAINS, 49.222046758674495, 19.0, 10128756945, 52.10024315614028, 0.9337901714905731 
8.2  CENTRAL USA PLAINS, None, None, None, None, None 
9.2  TEMPERATE PRAIRIES, 12.137011435395156, 6.0, 2914330605, 20.887913292795755, 0.9397359909193723 
9.3  WEST-CENTRAL SEMIARID PRAIRIES, 6.000227242957059, 6.0, 1463308689, 4.31434375329428, 0.9536049448922433 
