Zone, Mean, Median, Sum, Std, Coverage 
0.0  WATER, None, None, None, None, None 
1.1  ARCTIC CORDILLERA, None, None, None, None, None 
10.1  COLD DESERTS, 162.80950927734375, 136.72999572753906, 9478017024.0, 102.86370849609375, 0.4591704212502046 
2.1  NORTHERN ARCTIC, None, None, None, None, None 
2.2  ALASKA TUNDRA, None, None, None, None, None 
2.3  BROOKS RANGE TUNDRA, None, None, None, None, None 
2.4  SOUTHERN ARCTIC, None, None, None, None, None 
3.1  ALASKA BOREAL INTERIOR, None, None, None, None, None 
3.2  TAIGA CORDILLERA, None, None, None, None, None 
3.3  TAIGA PLAIN, 75.42183685302734, 44.849998474121094, 51847938048.0, 72.7806396484375, 0.45772129738739786 
3.4  TAIGA SHIELD, None, None, None, None, None 
4.1  HUDSON PLAIN, 37.83180236816406, 26.079999923706055, 17433389056.0, 34.863975524902344, 0.5226544560018503 
5.1  SOFTWOOD SHIELD, 68.22297668457031, 55.97999954223633, 144113139712.0, 49.78059005737305, 0.5987833537978688 
5.2  MIXED WOOD SHIELD, 105.30522918701172, 102.9800033569336, 75257905152.0, 55.56183624267578, 0.764930204923077 
5.3  ATLANTIC HIGHLANDS, 90.9766845703125, 86.9000015258789, 18023542784.0, 52.962127685546875, 0.7606554561445699 
5.4  BOREAL PLAIN, 101.09842681884766, 94.05999755859375, 92939182080.0, 69.43083190917969, 0.5606429796298433 
6.1  BOREAL CORDILLERA, None, None, None, None, None 
6.2  WESTERN CORDILLERA, 138.18545532226562, 103.29000091552734, 76716711936.0, 102.08582305908203, 0.527486653222971 
7.1  MARINE WEST COAST FOREST, None, None, None, None, None 
8.1  MIXED WOOD PLAINS, None, None, None, None, None 
8.2  CENTRAL USA PLAINS, None, None, None, None, None 
9.2  TEMPERATE PRAIRIES, None, None, None, None, None 
9.3  WEST-CENTRAL SEMIARID PRAIRIES, None, None, None, None, None 
