Zone, Mean, Median, Sum, Std, Coverage 
0.0  WATER, None, None, None, None, None 
1.1  ARCTIC CORDILLERA, None, None, None, None, None 
10.1  COLD DESERTS, 66.95296478271484, 70.45919036865234, 200780224.0, 30.781068801879883, 0.8763892862127334 
2.1  NORTHERN ARCTIC, None, None, None, None, None 
2.2  ALASKA TUNDRA, None, None, None, None, None 
2.3  BROOKS RANGE TUNDRA, None, None, None, None, None 
2.4  SOUTHERN ARCTIC, 3.8753395080566406, 3.2320847511291504, 120015784.0, 3.3955721855163574, 0.5820499064871332 
3.1  ALASKA BOREAL INTERIOR, 21.491565704345703, 20.23017692565918, 445438272.0, 11.132152557373047, 0.7597152330503912 
3.2  TAIGA CORDILLERA, 22.7132511138916, 19.457988739013672, 361446464.0, 16.219364166259766, 0.8205348031470701 
3.3  TAIGA PLAIN, 33.71199035644531, 28.922990798950195, 1165932544.0, 20.605302810668945, 0.8532288705309414 
3.4  TAIGA SHIELD, 17.73986053466797, 15.9450044631958, 1236225536.0, 13.203442573547363, 0.7848686383962591 
4.1  HUDSON PLAIN, 15.868167877197266, 12.408615112304688, 356595776.0, 12.269488334655762, 0.9443848807166825 
5.1  SOFTWOOD SHIELD, 39.13950729370117, 38.208587646484375, 3222407168.0, 18.472597122192383, 0.8647122202251392 
5.2  MIXED WOOD SHIELD, 57.540260314941406, 58.49376678466797, 1288280192.0, 19.635772705078125, 0.8879078660260236 
5.3  ATLANTIC HIGHLANDS, 55.3312873840332, 56.01786422729492, 373190400.0, 17.332998275756836, 0.959505256081065 
5.4  BOREAL PLAIN, 45.5533561706543, 45.03947067260742, 1809906944.0, 26.08905792236328, 0.8977957935916845 
6.1  BOREAL CORDILLERA, 37.48486328125, 35.80583953857422, 1405413120.0, 22.04958152770996, 0.7817962907479854 
6.2  WESTERN CORDILLERA, 80.19049072265625, 80.63155364990234, 1896248576.0, 33.72484588623047, 0.8324649300145122 
7.1  MARINE WEST COAST FOREST, None, None, None, None, None 
8.1  MIXED WOOD PLAINS, 40.42680740356445, 42.461387634277344, 481558976.0, 26.327741622924805, 0.9338032490181454 
8.2  CENTRAL USA PLAINS, None, None, None, None, None 
9.2  TEMPERATE PRAIRIES, 4.946371078491211, 2.8568062782287598, 68754776.0, 6.363090515136719, 0.9397611516762314 
9.3  WEST-CENTRAL SEMIARID PRAIRIES, 2.5879926681518555, 2.6401219367980957, 36534016.0, 1.5449838638305664, 0.9535799361643923 
