Zone, Mean, Median, Sum, Std, Coverage 
0.0  WATER, None, None, None, None, None 
1.1  ARCTIC CORDILLERA, None, None, None, None, None 
10.1  COLD DESERTS, 644.4776611328125, 678.8272094726562, 1792333056.0, 307.1483154296875, 0.8761954001779343 
2.1  NORTHERN ARCTIC, None, None, None, None, None 
2.2  ALASKA TUNDRA, None, None, None, None, None 
2.3  BROOKS RANGE TUNDRA, None, None, None, None, None 
2.4  SOUTHERN ARCTIC, 22.400789260864258, 19.834318161010742, 641824640.0, 17.726625442504883, 0.580535609246328 
3.1  ALASKA BOREAL INTERIOR, 135.13780212402344, 124.58686065673828, 2598182912.0, 84.07192993164062, 0.7597460577700155 
3.2  TAIGA CORDILLERA, 128.89366149902344, 82.99665069580078, 1904414336.0, 128.9708251953125, 0.8213086754638799 
3.3  TAIGA PLAIN, 231.39060974121094, 192.484130859375, 7421493760.0, 175.6952667236328, 0.853033906702768 
3.4  TAIGA SHIELD, 108.37006378173828, 79.46873474121094, 6983227904.0, 100.43134307861328, 0.782421146113671 
4.1  HUDSON PLAIN, 115.12903594970703, 86.72502899169922, 2399205376.0, 91.05989074707031, 0.9441182148058969 
5.1  SOFTWOOD SHIELD, 276.1779479980469, 258.5505065917969, 21054261248.0, 156.32510375976562, 0.8631807304911885 
5.2  MIXED WOOD SHIELD, 432.5066223144531, 437.6314697265625, 8968245248.0, 162.9959716796875, 0.8865195392765421 
5.3  ATLANTIC HIGHLANDS, 422.73468017578125, 429.2926940917969, 2644484864.0, 144.33248901367188, 0.9594118835110906 
5.4  BOREAL PLAIN, 341.9411926269531, 323.687255859375, 12597608448.0, 210.88246154785156, 0.8974754831338427 
6.1  BOREAL CORDILLERA, 252.20713806152344, 227.2058868408203, 8771251200.0, 186.27532958984375, 0.7817968285654446 
6.2  WESTERN CORDILLERA, 620.2284545898438, 616.7499389648438, 13601774592.0, 278.8952941894531, 0.8323034074829571 
7.1  MARINE WEST COAST FOREST, None, None, None, None, None 
8.1  MIXED WOOD PLAINS, 310.6787414550781, 314.9927673339844, 3432062720.0, 203.74603271484375, 0.9336051025333438 
8.2  CENTRAL USA PLAINS, None, None, None, None, None 
9.2  TEMPERATE PRAIRIES, 58.93780517578125, 35.33844757080078, 759744128.0, 62.50172805786133, 0.9395478857127543 
9.3  WEST-CENTRAL SEMIARID PRAIRIES, 23.346298217773438, 22.0, 305651168.0, 15.892993927001953, 0.9533996214530269 
